Time	R1	R2	R3	R4	R5	R6	R7	R8	T1	T2	T3	T4	T5	T6	T7	T8	TEMP_BME	TEMP	HUM_BME	HUM	PM10	Biossido di Azoto	Ozono	Biossido Zolfo	Ossido di Carbonio
Mar 09 2021 13:00:00	32711111.2	38577778.6	898427.7333333333	746239.3333333334	19304000.533333335	8554994.633333333	77940219	499000000	102.80500000000006	100.06333333333332	89.73999999999997	89.00666666666666	38.74666666666666	100.51000000000003	102.64166666666667	500	43.80000000000002	37.63999999999998	7.300000000000008	8.631666666666666	18	19	79	1	0.6
Mar 09 2021 14:00:00	39050848.33898305	47005650.779661015	790318.4237288135	728372.8305084746	27089719.525423728	8537545.677966101	96538573.83050847	499000000	102.77796610169491	100.07796610169495	89.77627118644071	89.02372881355933	38.74576271186443	100.56949152542373	102.65254237288133	500	43.80000000000001	37.561016949152545	7.300000000000008	8.640677966101693	24	15	86	1	0.5
Mar 09 2021 15:00:00	39466667.6	44800001.2	691470.45	669789.1166666667	35350265.13333333	8987117.116666667	100625187.46666667	499000000	102.81333333333336	100.09500000000004	89.73333333333332	89.02333333333333	38.75166666666667	100.56333333333333	102.71166666666663	500	43.80000000000002	37.925000000000004	7.300000000000008	8.81	31	24	78	1	0.5
Mar 09 2021 16:00:00	32248888.933333334	40711112.2	684396.15	655191.65	32331982.633333333	8633628.566666666	85734331.2	499000000	102.88000000000005	100.14333333333336	89.86999999999999	89.09166666666667	38.82833333333334	100.6383333333333	102.74333333333333	500	43.80000000000002	39.54333333333334	7.300000000000008	8.088333333333335	29	29	74	1	NaN
Mar 09 2021 17:00:00	29653333.333333332	36480000.6	707666.3	655210.2333333333	29599104.2	8943576.05	73877752.4	499000000	102.94000000000001	100.18666666666667	89.87000000000002	89.11666666666666	38.84666666666667	100.66666666666664	102.76166666666656	500	43.80000000000002	40.10166666666667	7.300000000000008	7.565000000000002	26	37	67	1	0.5
Mar 09 2021 18:00:00	27840000	33848889.13333333	743996.6666666666	664849.9833333333	26371537.366666667	8956459.666666666	62625804.4	499000000	102.93500000000002	100.17166666666668	89.8816666666667	89.11333333333332	38.8616666666667	100.67166666666665	102.77166666666658	500	43.80000000000002	40.544999999999995	7.300000000000008	7.458333333333333	24	36	65	1	0.5
Mar 09 2021 19:00:00	29546666.666666668	35520000.53333333	741327.95	665503.0333333333	28851014.566666666	8875190.8	67791491.93333334	499000000	102.88166666666665	100.17666666666678	89.85166666666667	89.09333333333333	38.830000000000005	100.62833333333334	102.79500000000002	500	43.80000000000002	39.796666666666674	7.300000000000008	8.408333333333333	21	27	71	1	0.5
Mar 09 2021 20:00:00	27733333.333333332	31253333.466666665	754555.4333333333	678659.9666666667	23903203.366666667	7276150.05	59129450.46666667	499000000	102.96000000000002	100.21333333333334	89.91333333333334	89.14666666666669	38.898333333333355	100.67499999999998	102.77499999999992	500	43.80000000000002	41.29166666666668	7.300000000000008	9.191666666666666	26	19	72	1	0.5
Mar 09 2021 21:00:00	24604444.6	26915555.666666668	803885.0833333334	696482.9166666666	19199024.433333334	7315408.85	43510372.5	499000000	102.87666666666665	100.16333333333336	89.89333333333337	89.12833333333327	38.85666666666667	100.64499999999997	102.7433333333333	500	43.80000000000002	40.70000000000001	7.300000000000008	10.468333333333335	33	21	62	1	0.6
Mar 09 2021 22:00:00	20287328.881355934	20305407.898305085	893843.7966101695	724418.5254237289	13466456.79661017	7222000.474576271	24889426.118644066	499000000	102.91355932203389	100.19152542372886	89.92542372881358	89.1423728813559	38.87966101694916	100.65084745762707	102.75762711864407	500	43.80000000000001	41.50338983050846	7.300000000000008	10.493220338983052	33	25	53	1	0.6
