,Time,T1,R1,T2,R2,T3,R3,T4,R4,T5,R5,T6,R6,T7,R7,T8,R8,TEMP_BME,TEMP,HUM_BME,HUM,PM10,Biossido di Azoto,Biossido Zolfo,Ozono,Ossido di Carbonio
1238,2021-11-13 23:00:00,92.164406779661,16000000.0,90.6135593220339,15969868.169491526,102.16101694915254,3565850.9322033897,101.67966101694915,3673068.627118644,107.70508474576268,5989553.220338983,106.99491525423728,16158049.06779661,500.0,499000000.0,104.50508474576267,124191061.15254235,2.0,39.1,21.5,15.952542372881355,25,28,3,2,1.3
1239,2021-11-14 00:00:00,91.98333333333328,15970370.366666667,90.43499999999996,15288888.8,102.055,3987282.45,101.56999999999996,4068883.7,107.5433333333333,6863425.066666666,106.85,18010392.833333332,500.0,499000000.0,104.44166666666663,133232622.26666668,2.0,35.70666666666666,21.5,18.761666666666663,22,28,3,2,1.3
1240,2021-11-14 01:00:00,91.98,15674074.033333331,90.3933333333333,14399999.8,102.065,4139122.5833333335,101.57999999999998,4204089.983333333,107.5583333333333,7254238.233333333,106.86166666666668,18959107.433333334,500.0,499000000.0,104.42166666666668,137306721.86666667,2.0,35.62666666666666,21.5,18.92,22,27,2,2,1.1
1241,2021-11-14 02:00:00,92.09000000000002,14962962.833333334,90.50500000000004,14222222.0,102.11666666666666,4028760.133333333,101.60833333333336,4087135.5166666666,107.595,7211843.116666666,106.90666666666668,19099951.1,500.0,499000000.0,104.4716666666667,136449374.26666668,2.0,36.76333333333333,21.5,18.05666666666667,19,25,2,2,1.1
1242,2021-11-14 03:00:00,91.98666666666664,14712457.766666668,90.4316666666667,14198518.3,102.04999999999998,4150321.616666666,101.59166666666664,4230370.683333334,107.55833333333332,7516275.633333334,106.86333333333332,19807661.433333334,500.0,499000000.0,104.44166666666668,140383447.6,2.0,36.19166666666667,21.5,18.49,16,24,2,2,1.0
1243,2021-11-14 04:00:00,91.99833333333336,14637036.866666667,90.42,14222222.0,102.04666666666668,4259394.383333334,101.59333333333332,4324901.983333333,107.56333333333336,7766752.383333334,106.87333333333332,20330183.866666667,500.0,499000000.0,104.42999999999998,143121379.2,2.0,35.823333333333345,21.5,18.923333333333336,15,23,2,2,1.0
1244,2021-11-14 05:00:00,92.07833333333332,14281481.266666668,90.46000000000006,14222222.0,102.11833333333334,4268407.433333334,101.62666666666664,4287368.183333334,107.63166666666667,7697337.3,106.91333333333336,20160381.5,500.0,499000000.0,104.48000000000002,141765351.06666666,2.0,36.94333333333332,21.5,18.025,14,24,2,2,1.0
1245,2021-11-14 06:00:00,91.9683333333333,14257777.566666666,90.42833333333336,14103703.5,102.08166666666666,4641133.966666667,101.575,4657919.25,107.55333333333331,9283204.916666666,106.86,22508066.933333334,500.0,499000000.0,104.42666666666668,146757477.2,2.0,36.20166666666668,21.5,18.57833333333333,14,25,2,2,1.0
1246,2021-11-14 07:00:00,92.00169491525428,14198116.54237288,90.43389830508474,13499058.27118644,102.12542372881356,5357488.966101695,101.57966101694916,5294258.016949153,107.56779661016944,16292072.3220339,106.84237288135594,33814797.152542375,500.0,499000000.0,104.43220338983048,149224770.44067797,2.0,35.74745762711865,21.5,19.14237288135593,13,25,1,2,1.0
1247,2021-11-14 08:00:00,91.965,13463703.6,90.4733333333334,12722424.266666668,102.13833333333334,5933623.133333334,101.66666666666664,5939593.466666667,107.61000000000004,29229516.4,106.93833333333332,52178113.53333333,500.0,499000000.0,104.49,145060797.33333334,2.0,36.73833333333334,21.5,18.675,12,26,1,4,1.0
1248,2021-11-14 09:00:00,91.99000000000002,11746262.833333334,90.42833333333336,11319596.266666668,102.09833333333331,12208421.566666666,101.61666666666667,16828969.566666666,107.58333333333334,113676352.53333332,106.87666666666664,135131794.66666666,500.0,499000000.0,104.46500000000006,165183623.73333332,2.0,36.11333333333333,21.5,19.05333333333333,11,25,1,8,0.9
1249,2021-11-14 10:00:00,91.94666666666662,10188034.416666666,90.41166666666663,10031746.216666669,102.07666666666664,12821531.933333334,101.6,18256724.95,107.55499999999998,143077288.8,106.84500000000004,158220610.8,500.0,499000000.0,104.45000000000002,168738873.86666667,2.0,35.52,21.5,19.65333333333333,8,19,1,19,0.9
1250,2021-11-14 11:00:00,91.96166666666666,9745055.066666666,90.4216666666666,9320244.133333333,102.09999999999998,11212220.683333334,101.61166666666666,14267514.983333332,107.5566666666666,130349812.13333334,106.86500000000002,147537134.66666666,500.0,499000000.0,104.46333333333328,166037872.26666668,2.0,35.448333333333345,21.5,19.68166666666667,8,21,1,18,0.9
1251,2021-11-14 12:00:00,91.98000000000005,9879365.233333332,90.44666666666669,9611721.666666666,102.0933333333333,8087232.066666666,101.64166666666664,8666415.216666667,107.595,92937129.86666666,106.88166666666666,117682179.2,500.0,499000000.0,104.475,154159656.26666668,2.0,35.701666666666675,21.5,19.70833333333333,8,26,1,14,0.9
1252,2021-11-14 13:00:00,92.02500000000003,9996581.383333333,90.4083333333334,9787545.916666666,102.08666666666666,9167645.316666666,101.63666666666664,10476437.533333331,107.57666666666668,112536756.66666669,106.88166666666667,132347299.46666668,500.0,499000000.0,104.46000000000006,159317016.0,2.0,35.81000000000001,21.5,19.600000000000005,10,30,1,11,0.9
1253,2021-11-14 14:00:00,92.00166666666672,9846154.0,90.4383333333334,9553113.583333334,102.13333333333335,9765895.966666669,101.65166666666669,11797551.833333334,107.6,125666245.46666668,106.9,142712035.06666666,500.0,499000000.0,104.47833333333342,162103333.06666666,2.0,35.99833333333334,21.5,19.276666666666667,10,28,1,13,0.9
1254,2021-11-14 15:00:00,91.9881355932203,10291178.0,90.4033898305085,9889861.711864406,102.09830508474576,6826881.220338983,101.62881355932204,7048652.762711864,107.564406779661,71874150.77966101,106.86101694915251,97429659.11864407,500.0,499000000.0,104.44237288135598,151762173.01694915,2.0,35.7322033898305,21.5,19.4813559322034,9,26,1,14,1.0
1255,2021-11-14 16:00:00,91.98166666666664,11390707.366666667,90.41833333333332,10927739.266666668,102.10999999999996,5144412.0,101.63833333333338,5050266.9,107.56333333333332,24711710.316666663,106.87666666666668,49027286.66666666,500.0,499000000.0,104.43333333333332,141491770.66666666,2.0,35.601666666666674,21.5,19.585,10,32,1,8,1.0
1256,2021-11-14 17:00:00,91.96333333333334,12625454.6,90.43666666666668,11927273.0,102.11333333333332,4870137.016666667,101.66333333333334,4745233.533333333,107.66333333333333,11419990.216666669,106.92333333333336,29570015.166666668,500.0,499000000.0,104.45666666666668,136470220.53333333,2.0,36.19166666666667,21.5,19.045000000000005,12,39,1,3,1.1
1257,2021-11-14 18:00:00,92.03499999999998,12942222.2,90.43666666666672,12489697.066666666,102.13333333333335,5197106.816666666,101.67,5049290.966666667,107.59499999999998,13142952.066666666,106.92666666666668,30520794.566666663,500.0,499000000.0,104.45666666666672,139798264.13333333,2.0,36.260000000000005,21.5,18.576666666666668,13,39,2,2,1.1
1258,2021-11-14 19:00:00,91.92999999999998,13416296.2,90.41166666666666,12800000.0,102.09666666666674,5750092.25,101.65000000000002,5674950.1,107.57,19814919.683333334,106.91833333333334,37370398.56666667,500.0,499000000.0,104.44499999999996,145053297.06666666,2.0,35.701666666666675,21.5,18.98333333333333,13,37,1,3,1.0
1259,2021-11-14 20:00:00,92.03166666666668,12942222.2,90.44166666666666,12198788.066666666,102.17333333333336,6381692.183333334,101.68666666666668,6338554.733333333,107.61333333333329,33535983.9,106.92666666666668,55872524.6,500.0,499000000.0,104.46833333333332,146142123.73333332,2.0,36.01,21.5,18.77833333333333,13,33,1,5,1.0
